epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
133,8699.28,0.63624,0.41801,0.82585,0.81736,0.71563,0.77299,0.53504,0.90816,0.85586,0.87569,0.000122184,0.000122184,0.000122184
134,8764.42,0.63196,0.41333,0.82624,0.83468,0.71214,0.77317,0.53902,0.88868,0.84094,0.87752,0.00012117,0.00012117,0.00012117
135,8829.38,0.61883,0.41149,0.81983,0.8277,0.71394,0.77103,0.54151,0.87927,0.84229,0.87055,0.000120156,0.000120156,0.000120156
136,8894.55,0.62735,0.41061,0.82265,0.83245,0.71593,0.77449,0.5408,0.88641,0.85903,0.87096,0.000119142,0.000119142,0.000119142
137,8959.69,0.62157,0.41012,0.82102,0.80767,0.72356,0.77001,0.53697,0.88898,0.86014,0.87222,0.000118129,0.000118129,0.000118129
138,9024.64,0.61421,0.40603,0.82029,0.81883,0.71759,0.77349,0.53981,0.88992,0.83547,0.87651,0.000117115,0.000117115,0.000117115
139,9089.72,0.62632,0.41569,0.82024,0.80702,0.71314,0.76403,0.53222,0.8938,0.85198,0.87102,0.000116101,0.000116101,0.000116101
140,9155.03,0.62358,0.41236,0.82152,0.80444,0.71854,0.76912,0.53861,0.89443,0.86089,0.87293,0.000115087,0.000115087,0.000115087
141,9220.26,0.62871,0.41341,0.82023,0.83589,0.69935,0.76799,0.53246,0.89298,0.86184,0.87496,0.000114074,0.000114074,0.000114074
142,9285.05,0.61702,0.40533,0.82306,0.82831,0.72032,0.77511,0.53677,0.89679,0.85806,0.87564,0.00011306,0.00011306,0.00011306
143,9350.13,0.6146,0.40322,0.82119,0.8213,0.71432,0.77162,0.53613,0.8923,0.87548,0.87307,0.000112046,0.000112046,0.000112046
144,9415.46,0.61278,0.39638,0.82028,0.83783,0.71052,0.77277,0.53795,0.89744,0.84643,0.87086,0.000111032,0.000111032,0.000111032
